State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ration
Puducherry,Yanam,16.707695652173904,82.26187304347832,634,55626,27301,28325,39274,19919,19355,53537,1191,873,3,1,4,4,12859,207,1037.5077835976706
Punjab,Amritsar,31.548679820627772,74.79883856502238,49,2490656,1318408,1172248,1684770,932981,751789,690939,12502,54344,1716935,876,3152,1044,461231,29961,889.1390222146711
Punjab,Bathinda,30.190524611973352,75.05685898004438,46,1388525,743197,645328,844868,488261,356607,380569,16299,2474,984286,246,1266,559,255650,11284,868.313515797292
Punjab,Faridkot,30.591187250996025,74.79751553784862,45,617508,326671,290837,381285,215767,165518,141363,3125,1227,469789,155,1109,103,113549,4348,890.3055367632878
Punjab,Fatehgarh Sahib,30.64290947368421,76.36208394736842,40,600163,320795,279368,426033,238696,187337,152851,16808,1698,427521,48,178,251,113683,5138,870.8614535762714
Punjab,Firozpur,30.63407535211269,74.40245732394365,43,2029074,1071637,957437,1227511,707070,520441,906408,6844,19358,1090815,454,1143,278,349662,10042,893.434063960091
Punjab,Gurdaspur,32.04283371212125,75.3204064393939,35,2298323,1212617,1085706,1634719,907660,727059,1074332,27667,176587,1002874,405,580,812,411216,14428,895.3412330521509
Punjab,Hoshiarpur,31.55157169811319,75.8469857442349,38,1586625,809057,777568,1199699,637927,561772,1000743,23089,14968,538208,3476,2034,531,319930,13747,961.0793800684006
Punjab,Jalandhar,31.250336907216507,75.54400350515463,37,2193590,1145211,1048379,1622537,882581,739956,1394329,30233,26016,718363,11385,4011,805,446200,39082,915.4461492249027
Punjab,Kapurthala,31.336592638036837,75.47641165644177,36,815168,426311,388857,576567,316254,260313,336124,10190,5445,453692,6662,553,334,161206,9732,912.1439512468596
Punjab,Ludhiana,30.76596397379912,75.83110851528383,41,3498739,1867816,1630923,2560225,1428348,1131877,1502403,77713,16517,1863408,2007,19620,1254,703624,58589,873.1711260638093
Punjab,Mansa,29.919547714285724,75.4304922857143,47,769751,408732,361019,423560,244037,179523,156539,10375,917,598443,123,1577,493,140099,2673,883.2658074239355
